Item Identifier,Media Url
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000019.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000020.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000021.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000022.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000023.jpg
211,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000025.jpg
205,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000019.jpg
205,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000020.jpg
204,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000017.jpg
204,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000018.jpg
210,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000024.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000001.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000002.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000003.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000004.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000005.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000006.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000007.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000008.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000009.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000010.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000011.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000012.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000013.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000014.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000015.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000016.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000017.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000018.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000019.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000020.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000021.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000022.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000023.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000024.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000025.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000026.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000027.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000028.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000029.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000030.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000031.jpg
238,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/20/00000032.jpg
9,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/1/00000010.jpg
73,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000015.jpg
73,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000016.jpg
73,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000017.jpg
73,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000018.jpg
73,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000019.jpg
67,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/6/00000019.jpg
67,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/6/00000023.jpg
199,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000004.jpg
199,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000005.jpg
172,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/14/00000008.jpg
172,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/14/00000009.jpg
172,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/14/00000010.jpg
98,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/9/00000008.jpg
98,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/9/00000009.jpg
98,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/9/00000010.jpg
98,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/9/00000011.jpg
98,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/9/00000012.jpg
98,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/9/00000013.jpg
98,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/9/00000014.jpg
166,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/13/00000020.jpg
101,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000004.jpg
115,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000028.jpg
129,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000013.jpg
28,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000005.jpg
14,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/2/00000006.jpg
15,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/2/00000007.jpg
29,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000006.jpg
128,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000012.jpg
114,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000026.jpg
114,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000027.jpg
100,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000003.jpg
116,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000029.jpg
102,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000005.jpg
17,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/3/00000003.jpg
16,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/2/00000008.jpg
16,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/2/00000009.jpg
103,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000006.jpg
117,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000030.jpg
113,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000024.jpg
113,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000025.jpg
107,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000017.jpg
107,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000018.jpg
12,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/2/00000004.jpg
13,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/2/00000005.jpg
106,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000015.jpg
106,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000016.jpg
112,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000023.jpg
138,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000026.jpg
138,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000027.jpg
104,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000007.jpg
110,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000021.jpg
11,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/2/00000003.jpg
39,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000022.jpg
39,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000023.jpg
38,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000019.jpg
38,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000020.jpg
38,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/4/00000021.jpg
10,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/1/00000011.jpg
111,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000022.jpg
105,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000008.jpg
105,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000009.jpg
105,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000010.jpg
105,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000011.jpg
105,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000012.jpg
105,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000013.jpg
105,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000014.jpg
139,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000028.jpg
139,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/11/00000029.jpg
120,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000035.jpg
120,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/10/00000036.jpg
